 oath 맹세
 appointment 임명
 clue 실마리
 debt 은혜
 hydrogen 수소
 control 통제
 uniform 제복
 design 계획
 damage 손해
 custom 습관
 traffic 교통
 sophomore 학년생
 temperature 온도
 limit 제한하다
 statue 조각상
 furniture 가구
 parade 행렬
 public 공중
 pilgrim 순례자
 greeting 인사
 language 언어
 opinion 의견
 athlete 운동선수 
 supply 공급
 surface 표면
 electricity 전기
 order 순서
 spirit 정신
 purpose 목적
 promise 가망
 project 계획
 government 정부
 exercise 운동
 comparison 비교
 interest 이익
 funeral 장례식
 senior 선배
 junior 후배
 democracy 민주주의
 general 장군
 admiral 해군대장
 edge 모서리
 biology 생물학
 danger 위험
 advice 충고
 practice 연습하다
 mammal 포유동물
 grade 학년
 score 점수
 pause 중지
 pronunciation 발음
 stress 압박
 contest 경쟁
 horizon 수평선
 principal 주요한
 might 힘
 trouble 고생
 scar 상처
 balance 균형
 proverb 속담
 semester 학기
 election 선거
 inning 회
 hollow 구멍
 degree 도
 cemetery 묘지
 relay 교대하다
 spot 지점
 exchange 교환하다
 merchant 상인
 saying 격언
 refrigerator 냉장고
 crack 갈라진틈
 judge 재판관
 slave 노예
 settler 이주민 
 fare 요금
 gesture 몸짓 
 planet 유성
 type 유형 
 secretary 비서
 devil 악마
 scholar 학자
 pardon 용서
 kindergarten 유치원
 detective 탐정
 license 면허
 palace 궁전
 spade 삽
 square 정사각형
 fountain-pen 만년필
 harvest 수확
 tool 도구
 sword 칼
 magazine 잡지
 stadium 경기장
 care 걱정
 beauty 아름다움
 museum 박물관 
 sentence 문장
 memory 기억
 delight 기쁨
 passenger 승객
 skill 숙련
 journey 여행
 ceremony 의식
 hobby 취미
 president 대통령
 address 주소
 continent 대륙
 mankind 인간
 patient 환자
 site 부지
 marble 대리석
